
Frame 1:

Frame 2:

Frame 3:
12: person           64% - Location - xc:   508, yc:   636, width:    25, height:    51
13: person           73% - Location - xc:   201, yc:   380, width:    20, height:    55
14: person           73% - Location - xc:  1090, yc:   204, width:    18, height:    36
15: person           57% - Location - xc:   638, yc:   368, width:  1101, height:   494
16: person           65% - Location - xc:   677, yc:   463, width:    19, height:    50

Frame 25:
1: person           94% - Location - xc:  1003, yc:   355, width:    20, height:    44
2: person           92% - Location - xc:   388, yc:   284, width:    18, height:    47
3: person           90% - Location - xc:   338, yc:   198, width:    17, height:    40
4: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           88% - Location - xc:   538, yc:   195, width:    16, height:    34
6: person           87% - Location - xc:   197, yc:   313, width:    18, height:    47
7: person           84% - Location - xc:   258, yc:   251, width:    20, height:    48
8: person           81% - Location - xc:   915, yc:   306, width:    21, height:    49
9: person           80% - Location - xc:   877, yc:   226, width:    19, height:    34
10: person           78% - Location - xc:  1180, yc:   249, width:    19, height:    41
11: person           75% - Location - xc:  1226, yc:   308, width:    20, height:    42
12: person           64% - Location - xc:   508, yc:   637, width:    26, height:    52
13: person           72% - Location - xc:   201, yc:   381, width:    20, height:    54
14: person           72% - Location - xc:  1090, yc:   204, width:    18, height:    36
15: person           57% - Location - xc:   638, yc:   368, width:  1098, height:   494
16: person           68% - Location - xc:   679, yc:   463, width:    20, height:    52

Frame 26:
1: person           94% - Location - xc:  1003, yc:   354, width:    20, height:    45
2: person           93% - Location - xc:   388, yc:   284, width:    18, height:    47
3: person           90% - Location - xc:   339, yc:   198, width:    16, height:    39
4: person           88% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           87% - Location - xc:   196, yc:   312, width:    18, height:    45
6: person           86% - Location - xc:   538, yc:   195, width:    15, height:    32
7: person           83% - Location - xc:   258, yc:   250, width:    20, height:    47
8: person           81% - Location - xc:   877, yc:   226, width:    19, height:    35
9: person           81% - Location - xc:   915, yc:   306, width:    21, height:    49
10: person           80% - Location - xc:  1180, yc:   249, width:    19, height:    41
11: person           74% - Location - xc:  1226, yc:   308, width:    20, height:    42
12: person           74% - Location - xc:   201, yc:   381, width:    20, height:    54
13: person           72% - Location - xc:  1090, yc:   204, width:    18, height:    36
14: person           59% - Location - xc:   638, yc:   368, width:  1094, height:   494
15: person           63% - Location - xc:   508, yc:   637, width:    26, height:    54
16: person           64% - Location - xc:   679, yc:   461, width:    20, height:    53

Frame 27:
1: person           94% - Location - xc:  1003, yc:   354, width:    20, height:    45
2: person           93% - Location - xc:   388, yc:   284, width:    18, height:    47
3: person           89% - Location - xc:   339, yc:   199, width:    17, height:    40
4: person           88% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           86% - Location - xc:   196, yc:   312, width:    18, height:    44
6: person           85% - Location - xc:   539, yc:   195, width:    16, height:    32
7: person           81% - Location - xc:   878, yc:   226, width:    18, height:    34
8: person           81% - Location - xc:   258, yc:   250, width:    20, height:    46
9: person           81% - Location - xc:  1181, yc:   249, width:    18, height:    41
10: person           79% - Location - xc:   915, yc:   306, width:    21, height:    49
11: person           76% - Location - xc:   201, yc:   381, width:    20, height:    54
12: person           73% - Location - xc:  1226, yc:   307, width:    20, height:    43
13: person           59% - Location - xc:   638, yc:   368, width:  1095, height:   494
14: person           72% - Location - xc:  1090, yc:   204, width:    18, height:    36
15: person           63% - Location - xc:   508, yc:   637, width:    26, height:    54
17: person           61% - Location - xc:   680, yc:   460, width:    20, height:    53

Frame 28:
1: person           94% - Location - xc:  1003, yc:   354, width:    20, height:    45
2: person           93% - Location - xc:   388, yc:   284, width:    19, height:    47
3: person           89% - Location - xc:   340, yc:   199, width:    16, height:    40
4: person           88% - Location - xc:  1060, yc:   280, width:    19, height:    40
5: person           85% - Location - xc:   539, yc:   195, width:    15, height:    31
6: person           85% - Location - xc:   196, yc:   311, width:    18, height:    45
7: person           82% - Location - xc:   878, yc:   226, width:    18, height:    34
8: person           81% - Location - xc:  1181, yc:   250, width:    19, height:    40
9: person           79% - Location - xc:   201, yc:   381, width:    20, height:    54
10: person           79% - Location - xc:   258, yc:   250, width:    20, height:    46
11: person           78% - Location - xc:   915, yc:   306, width:    21, height:    48
12: person           73% - Location - xc:  1226, yc:   307, width:    20, height:    43
13: person           59% - Location - xc:   638, yc:   368, width:  1099, height:   492
14: person           72% - Location - xc:  1090, yc:   204, width:    18, height:    36
15: person           62% - Location - xc:   508, yc:   637, width:    26, height:    54
17: person           59% - Location - xc:   680, yc:   459, width:    20, height:    53

Frame 29:
1: person           94% - Location - xc:  1003, yc:   355, width:    20, height:    46
2: person           93% - Location - xc:   388, yc:   284, width:    19, height:    47
3: person           88% - Location - xc:  1060, yc:   280, width:    19, height:    40
4: person           88% - Location - xc:   340, yc:   199, width:    16, height:    39
5: person           83% - Location - xc:   540, yc:   195, width:    14, height:    31
6: person           83% - Location - xc:   196, yc:   311, width:    18, height:    45
7: person           83% - Location - xc:   878, yc:   226, width:    17, height:    35
8: person           81% - Location - xc:  1181, yc:   250, width:    19, height:    40
9: person           78% - Location - xc:   201, yc:   381, width:    20, height:    54
